2022-12-28 18:45:14 provname=海南,obtid=59758,obtname=海口,lat=20.00,lon=110.15,height=63.50
2022-12-28 18:45:14 provname=海南,obtid=59838,obtname=东方,lat=19.06,lon=108.37,height=7.60
2022-12-28 18:45:14 provname=海南,obtid=59845,obtname=儋州,lat=19.31,lon=109.35,height=169.00
2022-12-28 18:45:14 provname=海南,obtid=59849,obtname=琼中,lat=19.02,lon=109.50,height=250.90
2022-12-28 18:45:14 provname=海南,obtid=59855,obtname=琼海,lat=19.14,lon=110.28,height=24.00
2022-12-28 18:45:14 provname=海南,obtid=59948,obtname=三亚,lat=18.13,lon=109.35,height=419.40
2022-12-28 18:45:14 provname=海南,obtid=59954,obtname=陵水,lat=18.33,lon=110.02,height=35.20
2022-12-28 18:45:14 provname=海南,obtid=59981,obtname=西沙,lat=16.50,lon=112.20,height=4.70
2022-12-28 18:45:14 provname=河北,obtid=53399,obtname=张北,lat=41.09,lon=114.42,height=1393.30
2022-12-28 18:45:14 provname=河北,obtid=53593,obtname=蔚县,lat=39.50,lon=114.34,height=909.50
2022-12-28 18:45:14 provname=河北,obtid=53698,obtname=石家庄,lat=38.04,lon=114.21,height=103.60
2022-12-28 18:45:14 provname=河北,obtid=53798,obtname=邢台,lat=37.11,lon=114.22,height=183.00
2022-12-28 18:45:14 provname=河北,obtid=54308,obtname=丰宁,lat=41.12,lon=116.38,height=735.10
2022-12-28 18:45:14 provname=河北,obtid=54311,obtname=围场,lat=41.58,lon=117.46,height=892.70
2022-12-28 18:45:14 provname=河北,obtid=54401,obtname=张家口,lat=40.46,lon=114.55,height=772.80
2022-12-28 18:45:14 provname=河北,obtid=54405,obtname=怀来,lat=40.25,lon=115.30,height=570.90
2022-12-28 18:45:14 provname=河北,obtid=54423,obtname=承德,lat=40.58,lon=117.55,height=422.30
2022-12-28 18:45:14 provname=河北,obtid=54429,obtname=遵化,lat=40.12,lon=117.57,height=54.90
2022-12-28 18:45:14 provname=河北,obtid=54436,obtname=青龙,lat=40.25,lon=118.57,height=254.30
2022-12-28 18:45:14 provname=河北,obtid=54449,obtname=秦皇岛,lat=39.51,lon=119.31,height=2.40
2022-12-28 18:45:14 provname=河北,obtid=54518,obtname=霸州,lat=39.10,lon=116.24,height=8.90
2022-12-28 18:45:14 provname=河北,obtid=54534,obtname=唐山,lat=39.39,lon=118.06,height=23.20
2022-12-28 18:45:14 provname=河北,obtid=54535,obtname=唐海,lat=39.17,lon=118.28,height=3.20
2022-12-28 18:45:14 provname=河北,obtid=54539,obtname=乐亭,lat=39.26,lon=118.53,height=8.50
2022-12-28 18:45:14 provname=河北,obtid=54602,obtname=保定,lat=38.44,lon=115.29,height=16.80
2022-12-28 18:45:14 provname=河北,obtid=54606,obtname=饶阳,lat=38.14,lon=115.44,height=17.90
2022-12-28 18:45:14 provname=河北,obtid=54618,obtname=泊头,lat=38.05,lon=116.33,height=13.20
2022-12-28 18:45:14 provname=河北,obtid=54624,obtname=黄骅,lat=38.24,lon=117.19,height=4.50
2022-12-28 18:45:14 provname=河北,obtid=54705,obtname=南宫,lat=37.22,lon=115.23,height=27.40
2022-12-28 18:45:14 provname=河南,obtid=53898,obtname=安阳,lat=36.03,lon=114.08,height=194.80
2022-12-28 18:45:14 provname=河南,obtid=53986,obtname=新乡,lat=35.19,lon=113.53,height=73.20
2022-12-28 18:45:14 provname=河南,obtid=57051,obtname=三门峡,lat=34.48,lon=111.12,height=409.90
2022-12-28 18:45:14 provname=河南,obtid=57067,obtname=卢氏,lat=34.05,lon=111.04,height=658.50
2022-12-28 18:45:14 provname=河南,obtid=57071,obtname=孟津,lat=34.49,lon=112.26,height=333.30
2022-12-28 18:45:14 provname=河南,obtid=57077,obtname=栾川,lat=33.47,lon=111.39,height=742.40
2022-12-28 18:45:14 provname=河南,obtid=57083,obtname=郑州,lat=34.43,lon=113.39,height=110.40
2022-12-28 18:45:14 provname=河南,obtid=57084,obtname=嵩山,lat=34.30,lon=113.03,height=1178.40
2022-12-28 18:45:14 provname=河南,obtid=57089,obtname=许昌,lat=34.04,lon=113.56,height=67.20
2022-12-28 18:45:14 provname=河南,obtid=57091,obtname=开封,lat=34.47,lon=114.18,height=73.70
2022-12-28 18:45:14 provname=河南,obtid=57156,obtname=西峡,lat=33.18,lon=111.30,height=250.30
2022-12-28 18:45:14 provname=河南,obtid=57178,obtname=南阳,lat=33.06,lon=112.29,height=180.60
2022-12-28 18:45:14 provname=河南,obtid=57181,obtname=宝丰,lat=33.53,lon=113.03,height=136.40
2022-12-28 18:45:14 provname=河南,obtid=57193,obtname=西华,lat=33.47,lon=114.31,height=52.60
2022-12-28 18:45:14 provname=河南,obtid=57285,obtname=桐柏,lat=32.23,lon=113.25,height=153.00
2022-12-28 18:45:14 provname=河南,obtid=57290,obtname=驻马店,lat=32.56,lon=113.55,height=106.20
2022-12-28 18:45:14 provname=河南,obtid=57297,obtname=信阳,lat=32.08,lon=114.03,height=114.50
2022-12-28 18:45:14 provname=河南,obtid=58005,obtname=商丘,lat=34.26,lon=115.32,height=50.80
2022-12-28 18:45:14 provname=河南,obtid=58111,obtname=永城,lat=33.58,lon=116.27,height=32.50
2022-12-28 18:45:14 provname=河南,obtid=58208,obtname=固始,lat=32.10,lon=115.37,height=42.90
2022-12-28 18:45:14 provname=黑龙江,obtid=50136,obtname=漠河,lat=52.58,lon=122.31,height=438.50
2022-12-28 18:45:14 provname=黑龙江,obtid=50246,obtname=塔河,lat=52.21,lon=124.43,height=361.90
2022-12-28 18:45:14 provname=黑龙江,obtid=50247,obtname=呼中,lat=52.02,lon=123.34,height=514.50
2022-12-28 18:45:14 provname=黑龙江,obtid=50349,obtname=新林,lat=51.40,lon=124.24,height=501.50
2022-12-28 18:45:14 provname=黑龙江,obtid=50353,obtname=呼玛,lat=51.44,lon=126.38,height=173.90
2022-12-28 18:45:14 provname=黑龙江,obtid=50442,obtname=加格达奇,lat=50.24,lon=124.07,height=371.70
2022-12-28 18:45:14 provname=黑龙江,obtid=50468,obtname=爱辉,lat=50.15,lon=127.27,height=166.40
2022-12-28 18:45:14 provname=黑龙江,obtid=50557,obtname=嫩江,lat=49.10,lon=125.14,height=242.20
2022-12-28 18:45:14 provname=黑龙江,obtid=50564,obtname=孙吴,lat=49.26,lon=127.21,height=234.50
2022-12-28 18:45:14 provname=黑龙江,obtid=50656,obtname=北安,lat=48.15,lon=126.30,height=278.40
2022-12-28 18:45:14 provname=黑龙江,obtid=50658,obtname=克山,lat=48.03,lon=125.53,height=236.00
2022-12-28 18:45:14 provname=黑龙江,obtid=50674,obtname=乌伊岭,lat=48.34,lon=129.26,height=404.50
2022-12-28 18:45:14 provname=黑龙江,obtid=50739,obtname=龙江,lat=47.18,lon=123.15,height=209.30
2022-12-28 18:45:14 provname=黑龙江,obtid=50742,obtname=富裕,lat=47.48,lon=124.29,height=162.70
2022-12-28 18:45:14 provname=黑龙江,obtid=50745,obtname=齐齐哈尔,lat=47.23,lon=123.55,height=147.10
2022-12-28 18:45:14 provname=黑龙江,obtid=50756,obtname=海伦,lat=47.27,lon=126.52,height=247.30
2022-12-28 18:45:14 provname=黑龙江,obtid=50758,obtname=明水,lat=47.11,lon=125.54,height=246.00
2022-12-28 18:45:14 provname=黑龙江,obtid=50774,obtname=伊春,lat=47.42,lon=128.50,height=264.80
2022-12-28 18:45:14 provname=黑龙江,obtid=50778,obtname=同江,lat=47.40,lon=132.32,height=57.50
2022-12-28 18:45:14 provname=黑龙江,obtid=50788,obtname=富锦,lat=47.14,lon=131.59,height=66.40
2022-12-28 18:45:14 provname=黑龙江,obtid=50844,obtname=泰来,lat=46.24,lon=123.27,height=138.80
2022-12-28 18:45:14 provname=黑龙江,obtid=50853,obtname=北林,lat=46.37,lon=126.58,height=179.60
2022-12-28 18:45:14 provname=黑龙江,obtid=50854,obtname=安达,lat=46.23,lon=125.19,height=149.30
